language,rank,repository,github_url,stars,dataset,dataset_revision,source_path,source_state,purpose
python,2,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,78103,HerAgent:repo2run.txt,012820,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/repo2run-d4vinci-scrapling-012820,ready,自适应 Web 抓取框架
python,3,pallets/flask,https://github.com/pallets/flask,72171,HerAgent:executionAgent.txt,2579ce9f18e67ec3213c6eceb5240310ccd46af8,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/executionagent-pallets-flask-2579ce9f18e6,ready,Python 轻量 Web 框架
python,4,Textualize/rich,https://github.com/Textualize/rich,57311,HerAgent:installamatic_dataset.txt,d0de442,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-textualize-rich-d0de442,ready,终端富文本格式化库
python,5,soimort/you-get,https://github.com/soimort/you-get,56875,HerAgent:installamatic_dataset.txt,c4042d0,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-soimort-you-get-c4042d0,ready,命令行媒体下载工具
python,6,psf/black,https://github.com/psf/black,41831,HerAgent:installamatic_dataset.txt,98a580b,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-psf-black-98a580b,ready,Python 自动代码格式化工具
python,7,Textualize/textual,https://github.com/Textualize/textual,37120,HerAgent:installamatic_dataset.txt,4c0efd5,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-textualize-textual-4c0efd5,ready,Python 终端和 Web UI 框架
python,8,python-poetry/poetry,https://github.com/python-poetry/poetry,34295,HerAgent:envbench-python.txt,5bab98c9500f1050c6bb6adfb55580a23173f18d,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/envbench-python-paper-python-poetry-poetry-5bab98c9500f,ready,Python 依赖管理和打包工具
python,9,tqdm/tqdm,https://github.com/tqdm/tqdm,31308,HerAgent:installamatic_dataset.txt,951a2ba,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-tqdm-tqdm-951a2ba,ready,Python 和 CLI 进度条库
python,10,ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,25152,HerAgent:installamatic_dataset.txt,3fe87cb,/home/master/auto-build/CNB/cnb-benchmark/work/full-run/repos/installamatic-ranaroussi-yfinance-3fe87cb,ready,Yahoo Finance 市场数据客户端
cpp,1,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,76310,CXXCrafter:top100_dataset.csv,fb87a84b6e3384b424b2169c76de9031046861e9,/home/master/auto-build/CXXCrafter/datasets/top100-src/tesseract,ready,OCR 文字识别引擎
c,2,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,63900,CXXCrafter:top100_dataset.csv,9fc8c785e2747c87121ec28f8f10ceab0562384b,/home/master/auto-build/CXXCrafter/datasets/top100-src/FFmpeg,ready,音视频编解码和处理工具集
cpp,3,aseprite/aseprite,https://github.com/aseprite/aseprite,39168,CXXCrafter:top100_dataset.csv,b9d291bff7afb8e78a9fb3d38fcdf57a80951dc4,/home/master/auto-build/CXXCrafter/datasets/top100-src/aseprite,ready,像素画与精灵动画编辑器
c,4,raysan5/raylib,https://github.com/raysan5/raylib,34562,CXXCrafter:top100_dataset.csv,9b2efc45522bdce8cb9462ccaf3b1f5a25888e54,/home/master/auto-build/CXXCrafter/datasets/top100-src/raylib,ready,跨平台游戏开发库
cpp,5,facebook/rocksdb,https://github.com/facebook/rocksdb,32038,CXXCrafter:top100_dataset.csv,1ca38e1442002e65d0739f5b794785a670d15231,/home/master/auto-build/CXXCrafter/datasets/top100-src/rocksdb,ready,可嵌入持久化键值数据库
cpp,6,ossrs/srs,https://github.com/ossrs/srs,29200,CXXCrafter:top100_dataset.csv,b0d775a316046d4dd1ed87c0f0a9871c614f56f8,/home/master/auto-build/CXXCrafter/datasets/top100-src/srs,ready,实时媒体服务器
cpp,7,dmlc/xgboost,https://github.com/dmlc/xgboost,28724,CXXCrafter:top100_dataset.csv,f843db0101e78aaa2f785853f729437c100ce3d8,/home/master/auto-build/CXXCrafter/datasets/top100-src/xgboost,ready,梯度提升机器学习库
cpp,8,official-stockfish/Stockfish,https://github.com/official-stockfish/Stockfish,16464,CXXCrafter:top100_dataset.csv,47be34c55fbc86079cba57b9ad6955e6fe0bdff9,/home/master/auto-build/CXXCrafter/datasets/top100-src/Stockfish,ready,UCI 国际象棋引擎
cpp,9,drogonframework/drogon,https://github.com/drogonframework/drogon,14234,CXXCrafter:top100_dataset.csv,eba59fec2902e2956078d730136437728c871d3f,/home/master/auto-build/CXXCrafter/datasets/top100-src/drogon,ready,C++ HTTP Web 应用框架
cpp,10,skypjack/entt,https://github.com/skypjack/entt,13076,CXXCrafter:top100_dataset.csv,85c6bba014049b5de8fad49d25424df2f1f6a8c1,/home/master/auto-build/CXXCrafter/datasets/top100-src/entt,ready,轻量实体组件系统库
